nome;num_avali;avali;preco
"Smart TV Philips 32"" PHG682578 HD sem Bordas HDR Plus 3 HDMI 2 USB Wifi Miracast Preta";0;0;2399.90
"Smart TV LG 55"" OLED UHD 4K Inteligência Artificial ThinQ Google Alexa OLED55C1PSA";0;0;3959.00
"Smart TV Samsung Crystal UHD 4K 60"" Tela sem Limites, Visual Livre de Cabos, Alexa built in, Controle Único - 60AU7700";1;5.0;3111.50
Smart TV LCD LED 43`` Semp 43S6500FS Android;0;0;3634.90
"Smart TV LED 40"" Philco PTV40G60SNBL, 3 HDMI, Wi-Fi, 2 USB, RJ-45, Entrada P2";0;0;3999.90
Smart TV 4K 43” LED UHD LG 43UP7500PSF Ultra Surround Wifi Bluetooth HDR 1 USB 2 HDMI;0;0;11969.00
"Smart TV 50"" Ultra HD 4K Multilaser TL032 3 HDMI 2 USB Bivolt Wi-Fi";5;4.5;2817.99
"Smart TV Philco 39"" LED HD PTV39G60S";0;0;6729.00
Smart TV 75UP8050 75 Polegadas 4K UHD WiFi Bluetooth HDR LG;0;0;1919.90
"Smart TV LED 40"" Panasonic TC-40FS500B Full HD com 2 USB, 2 HDMI, Mirroring e 60 Hz";5;5.0;7955.38
"Smart TV LED UHD 4K 60"" LG 60UN7310 Wi-Fi Bluetooth HDR AI";0;0;5562.90
"Smart TV TCL 40"" LED Full HD Android HDMI USB Comando de Voz";0;0;3199.90
Smart Tv 60 Polegadas 4K WiFi Tizen Crystal Uhd Samsung;0;0;5883.90
Smart Tv 50 Polegadas 50U6305 LED 4K HDR10+ HLG Aoc;0;0;2230.90
Smart TV 43” Philco LED FHD PTV43E10N5SF Wifi Sistema Dolby Audio com Conversor Digital Integrado e Midia Cast 2 HDMI 2 USB;0;0;1519.90
"Smart Tv 4k Android 65"" Philco Bivolt PH65G60DSGWAG";0;0;2626.20
"Smart TV Samsung 85"" Crystal UHD 4K 85AU8000 Design Slim Som em Movimento Virtual Visual Sem Cabos";0;0;17999.90
"Smart TV AOC 43"", HD ROKU 1080p, HDMI, USB, WiFi";0;0;12499.00
"Smart TV Samsung 75"" UHD Processador Crystal 4K 75AU7700 Tela Sem Limites Visual Livre de Cabos";1;5.0;4546.43
Smart Tv 32S615 Led 32 Polegadas Hd Hdr WiFi Android Tcl;0;0;2270.42
"Smart TV LG 65"" 4K IPS NanoCell WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Google Assistente Alexa IOT-65NANO86SNA";0;0;7199.90
Smart TV 55NANO85 55 Polegadas 4K NanoCell 120Hz HDMI 2.1 LG;0;0;2189.00
Smart Tv 43Lm631cosb Lg Pro 43``;0;0;1770.89
Smart TV 65NANO80 65 Polegadas 4K NanoCell HDMI 2.0 LG;0;0;28299.00
"Smart TV LED 40"" Philco PH40E60DSGWA Full HD 2 HDMI 2 USB";0;0;8799.00
Smart TV TL031 LED 32 Polegadas ARM Cortex A53 Multilaser;0;0;9024.90
Smart TV Android LED Full HD 43 Polegadas 2 HDMI Wi Fi Bluetooth 43S6500FS TCL;0;0;4699.00
Smart TV Philco 86” 4k Sb Led Android Netflix Bivolt;0;0;3167.00
"Smart TV QLED 4K The Sero 2020 43"" Som de 60W RMS 4.1 Canais TV Vertical Modo Retrato e Ambiente 3.0";0;0;3899.00
Smart TV 4K Philips LED 65” 65PUG6794/78, Ultra HD, 3 HDMI, 2 USB, Wi-Fi Integrado;0;0;4376.90
Smart TV TCL 32” Led HD Wi-Fi Bluetooth Android Bivolt S615;0;0;5951.99
"Smart TV LG 70"" 4K UHD Bluetooth Inteligência Artificial";0;0;5999.90
Smart TV LED 40`` Full HD TCL 40S6500S Android OS 2 HDMI 1 USB Wi-Fi;0;0;3149.99
Smart TV LED 32 Polegadas Samsung LH32BETBLGGXZD 2HDMI 1USB Preto Bivolt;0;0;3929.99
"Smart TV Samsung 85"" Neo QLED 4K 85QN85A Design Slim Mini Led Processador IA Som em Movimento";0;0;6103.90
"Smart TV Samsung Crystal UHD TU8000 4K 82"", Borda Infinita, Visual Livre de Cabos e Wi-Fi - UN82TU8000GXZD";2;5.0;3634.90
Smart TV 4K 70” LCD/LED UHD 70UP7750PSB webOS 6.0 HDR Ultra Surround 2 USB 3 HDMI;0;0;25159.00
"Smart TV Samsung 65"" Crystal UHD 4K 65AU8000 Design Slim Som em Movimento Virtual Visual Sem Cabos";0;0;2879.00
