nome;num_avali;avali;preco
Notebook ASUS X515JA-EJ592T, Intel Core i5-1035G1, Intel® HD Graphics 620, 8GB, 256GB, SSD, Windows 10 Home - Cinza;0;0;4049.00
Notebook Acer A315 Core I3-1005g1 20gb 1tbssd+2tb 15,6 Hd;0;0;4949.00
Notebook Acer A315 Core I3-1005g1 12gb 1tb Ssd Tela 15,6 Hd;0;0;5149.00
"Notebook Gamer Dell G15-a0700-MM20PB 15.6"" FHD AMD Ryzen™ 7 16GB 512GB SSD NVIDIA RTX 3060 Windows 11 + Mochila";0;0;4799.00
Notebook Lenovo Ideapad Core I3-10110u 8gb 128ssd+1tb 15,6;0;0;4399.00
Notebook Lenovo Ideapad Core I3-10110u 20gb 512 Ssd 15,6 Hd;0;0;4499.00
"Notebook Dell Inspiron 15 a0700-UM20P 15.6"" FHD AMD Ryzen™ 7 8GB 256GB SSD Linux Preto";0;0;9499.00
Notebook Acer A315 Core I3-1005g1 12gb 256ssd+2tb 15,6 Hd;0;0;12329.15
Notebook Lenovo Ideapad Core I3-10110u 12gb 512 Ssd 15,6 Hd;0;0;5215.00
Notebook Acer A315 Core I3-1005g1 4gb 256ssd+2tb 15,6 Hd;0;0;5699.00
"Notebook Gamer Dell G15-a0700-MM20P 15.6"" FHD AMD Ryzen™ 7 16GB 512GB SSD NVIDIA RTX 3060 Windows 11";0;0;5989.99
Notebook Msi Stealth I7 16Gb 1Tb+128Ssd 6Gv Gtx1060;0;0;5449.00
Notebook Acer Tmp658-M-746R I7 2.5Ghz/ 8Gb/ 256Gb/ Fhd/ 15.6;0;0;4699.00
Notebook Acer A315 Core I3-1005g1 20gb 512ssd+2tb 15,6 Hd;0;0;5099.00
Notebook Acer I7-8565U 1.8Ghz/ 8Gb/ 512Gb Ssd/ 14 Ips;0;0;5549.00
Notebook Lenovo Ideapad Core I3-10110u 12gb 1tbssd+1tb 15,6;0;0;6499.00
Notebook Lenovo Ideapad Core I3-10110u 12gb 512ssd+1tb 15,6;0;0;4949.00
Notebook Lenovo Ideapad Ryzen 5-3500u 8gb 128ssd+2t 15,6 Hd;0;0;6549.00
Notebook Acer A315 Core I3-1005g1 4gb 1tbssd+2tb 15,6 Hd;0;0;5249.00
Notebook Dell Inspiron I5-1035g1 16gb 1tbssd+1t Tela 15,6 Hd;0;0;4849.00
Notebook Dell Inspiron I5-1035g1 16gb 256 Ssd Tela 15,6 Hd;0;0;5599.00
Notebook Lenovo Ideapad Core I3-10110u 20gb 2tb Ssd 15,6 Hd;0;0;4549.00
Notebook Lenovo Ideapad Core I3-10110u 20gb 512ssd+1tb 15,6;0;0;4549.00
Notebook Acer A315 Core I3-1005g1 20gb 128ssd+1tb 15,6 Hd;0;0;3585.50
Notebook Lenovo Ideapad Core I3-10110u 8gb 1tbssd+2tb 15,6;0;0;4131.90
Notebook Lenovo Ideapad Core I3-10110u 20gb 256 Ssd 15,6 Hd;0;0;6349.00
Notebook Acer A315 Core I3-1005g1 4gb 512ssd+1tb 15,6 Hd;0;0;3999.00
Notebook Asus Amd R3 3200 4Gb / Ssd 128Gb / 15.6 Full Hd;0;0;5549.00
Notebook Samsung E30 Tela 15.6 Intel i3 SSD256 4GBRAM Linux;0;0;4749.00
Notebook Dell Inspiron I5-1035g1 4gb 1tbssd+2t Tela 15,6 Hd;0;0;4599.00
Notebook ASUS X543UA-GQ3430T, Intel Core i3 - 7020U, 4GB, 256GB SSD - Cinza Escuro;0;0;4199.00
Notebook Acer A315 Core I3-1005g1 20gb 1tb Ssd Tela 15,6 Hd;0;0;5199.00
Notebook Lenovo Ideapad Core I3-10110u 20gb 128ssd+1tb 15,6;0;0;4799.00
Notebook Lenovo Ideapad Core I3-10110u 12gb 256ssd+2tb 15,6;0;0;7449.00
Notebook Lenovo Ideapad Core I3-10110u 12gb 128ssd+1tb 15,6;0;0;4699.00
Notebook Dell Inspiron I5-1035g1 8gb 128ssd+2t Tela 15,6 Hd;0;0;4899.00
Notebook Lenovo Ideapad Core I3-10110u 4gb 1tb Ssd 15,6 Hd;0;0;6699.00
Notebook Dell Inspiron I5-1035g1 32gb 1tbssd+2t Tela 15,6 Hd;0;0;5299.00
Notebook Acer A315 Core I3-1005g1 12gb 128ssd+2tb 15,6 Hd;0;0;7299.00
Notebook Dell Inspiron I5-1035g1 4gb 512 Ssd Tela 15,6 Hd;0;0;6799.00
Notebook Acer A315 Core I3-1005g1 20gb 2tb Ssd Tela 15,6 Hd;0;0;6349.00
Notebook Lenovo Ideapad Core I3-10110u 8gb 1tbssd+1tb 15,6;0;0;5949.00
Notebook Dell Inspiron I5-1035g1 16gb 2tb Ssd Tela 15,6 Hd;0;0;5449.00
"Notebook Gamer Dell G15-a0500-MM10P 15.6"" FHD AMD Ryzen™ 5 8GB 512GB SSD NVIDIA RTX 3050 Windows 11";0;0;4349.00
"NOTEBOOK GAMER DELL G15-I1000-U20P 15.6"" FHD 10ª GERAÇÃO INTEL CORE I5 8GB 512GB SSD NVIDIA 1650 LINUX";0;0;6449.00
Notebook Lenovo Ideapad Core I3-10110u 4gb 2tb Ssd 15,6 Hd;0;0;6049.00
Notebook Lenovo Ideapad Core I3-10110u 20gb 1tb Ssd 15,6 Hd;0;0;6499.00
Notebook Acer A315 Core I3-1005g1 8gb 256ssd+1tb 15,6 Hd;0;0;5749.00
Notebook Dell Inspiron I5-1035g1 32gb 128ssd+2t Tela 15,6 Hd;0;0;6049.00
Notebook Dell Inspiron I5-1035g1 4gb 1tbssd+1t Tela 15,6 Hd;0;0;4449.00
"NOTEBOOK GAMER DELL G15-I1000-M20P 15.6"" FHD 10ª GERAÇÃO INTEL CORE I5 8GB 512GB SSD NVIDIA 1650 WINDOWS 11";0;0;5099.00
Notebook Acer A315 Core I3-1005g1 8gb 1tbssd+2tb 15,6 Hd;0;0;4549.00
"NOTEBOOK GAMER DELL G15-I1000-U10P 15.6"" FHD 10ª GERAÇÃO INTEL CORE I5 8GB 256GB SSD NVIDIA 1650 LINUX";0;0;4199.00
Notebook Acer A315 Core I3-1005g1 8gb 512 Ssd Tela 15,6 Hd;0;0;20570.00
Notebook Dell Inspiron I5-1035g1 4gb 256ssd+2t Tela 15,6 Hd;0;0;3299.00
Notebook Dell Inspiron I5-1035g1 8gb 128 Ssd Tela 15,6 Hd;0;0;4449.00
Notebook Acer A315 Core I3-1005g1 12gb 256 Ssd Tela 15,6 Hd;0;0;4349.00
Notebook Acer I7 9Ger/16Gb/512Gb/Rtx2060 6Gb/15.6;0;0;3549.00
Notebook ASUS X543MA-GQ1300T, Celeron Dual Core, RAM 4 GB, HD 500 GB, Windows 10 Home - Cinza Escuro;0;0;4199.00
Notebook Lenovo Ideapad Core I3-10110u 20gb 128 Ssd 15,6 Hd;0;0;6299.00
Notebook Acer A315 Core I3-1005g1 12gb 128ssd+1tb 15,6 Hd;0;0;3749.00
Notebook Lenovo Ideapad Core I3-10110u 4gb 128 Ssd 15,6 Hd;0;0;4699.00
Notebook Lenovo Ideapad Core I3-10110u 4gb 128ssd+2tb 15,6;0;0;4849.00
Notebook Dell Inspiron I5-1035g1 32gb 512 Ssd Tela 15,6 Hd;0;0;6249.00
Notebook Acer A315 Core I3-1005g1 4gb 128 Ssd Tela 15,6 Hd;0;0;4299.00
Notebook Acer A315 Core I3-1005g1 20gb 256 Ssd Tela 15,6 Hd;0;0;4199.00
Notebook Acer A315 Core I3-1005g1 12gb 512ssd+1tb 15,6 Hd;0;0;3899.00
Notebook Lenovo Ideapad Core I3-10110u 12gb 2tb Ssd 15,6 Hd;0;0;5149.00
Notebook Lenovo Ideapad Core I3-10110u 4gb 256ssd+2tb 15,6;0;0;4499.00
Notebook Acer A315 Core I3-1005g1 4gb 256ssd+1tb 15,6 Hd;0;0;7406.50
Notebook Lenovo Ideapad Core I3-10110u 8gb 256 Ssd 15,6 Hd;0;0;6949.00
Notebook Acer A315 Core I3-1005g1 8gb 1tb Ssd Tela 15,6 Hd;0;0;5349.00
Notebook Lenovo Ideapad Ryzen 5-3500u 8gb 128 Ssd 15,6 Hd;0;0;4249.00
Notebook Asus X512Da-Bt2020Rl Amd R5/8Gb/512Gb Ssd/15.6 Fhd;0;0;5549.00
Notebook Dell Inspiron I5-1035g1 32gb 512ssd+2t Tela 15,6 Hd;0;0;6049.00
Notebook Acer A315 Core I3-1005g1 20gb 512ssd+1tb 15,6 Hd;0;0;3959.75
Notebook Lenovo Ideapad Core I3-10110u 8gb 512 Ssd 15,6 Hd;0;0;5749.00
Notebook Dell Inspiron I5-1035g1 16gb 256ssd+2t Tela 15,6 Hd;0;0;5449.00
Notebook Lenovo Ideapad Core I3-10110u 20gb 1tbssd+2tb 15,6;0;0;4349.00
Notebook Acer Cloudbook Cel-N3050/ 2Gb/ 32Ssd/ 11.6/ Preto;0;0;7099.00
Notebook Lenovo Ideapad Core I3-10110u 12gb 1tbssd+2tb 15,6;0;0;5199.00
Notebook Acer A315 Core I3-1005g1 8gb 1tbssd+1tb 15,6 Hd;0;0;6249.00
Notebook Acer A315 Core I3-1005g1 4gb 128ssd+2tb 15,6 Hd;0;0;5849.00
Notebook Dell Inspiron I5-1035g1 32gb 1tbssd+1t Tela 15,6 Hd;0;0;4699.00
Notebook Lenovo Ideapad Core I3-10110u 20gb 256ssd+2tb 15,6;0;0;14319.00
Notebook Dell Inspiron I5-1035g1 32gb 256ssd+1t Tela 15,6 Hd;0;0;5299.00
Notebook Acer A315 Core I3-1005g1 12gb 1tbssd+2tb 15,6 Hd;0;0;5799.00
Notebook Acer A315 Core I3-1005g1 8gb 256ssd+2tb 15,6 Hd;0;0;5299.00
Notebook Asus Fx505Dv-Wb74 Ryzen 7-3750 8Gb/ 512Ssd/ Rtx2060;0;0;8780.00
Notebook Acer A315 Core I3-1005g1 20gb 256ssd+2tb 15,6 Hd;0;0;13299.00
