descricao;preco;avaliacao;quantidade_avaliacoes;URL
Mega Man X Legacy Collection 1+2 - Switch;371.06;5;0;https://www.magazineluiza.com.br/mega-man-x-legacy-collection-1-2-switch-capcom/p/hf2094cjfe/ga/otga/
Video Pinball Atari Original;0.56;5;0;https://www.magazineluiza.com.br/video-pinball-atari-original/p/ejj8kjjf0j/ga/gaat/
The Legend Of Zelda: Breath Of The Wild;386.91;5;0;https://www.magazineluiza.com.br/the-legend-of-zelda-breath-of-the-wild-switch/p/aa3g584h34/ga/otga/
Mini fliperama arcade colecionável dig dug micro player branco e preto;258.54;5;0;https://www.magazineluiza.com.br/mini-fliperama-arcade-colecionavel-dig-dug-micro-player-branco-e-preto-dreamgear/p/hkk7567c46/ga/otga/
Mega Pack PlayStation4 1TB com 01 Controle DualShock4 e 03 Jogos - Sony;3099.0;5;0;https://www.magazineluiza.com.br/mega-pack-playstation4-1tb-com-01-controle-dualshock4-e-03-jogos-sony/p/cc95712ce9/ga/otga/
Alex Kidd in Miracle World DX;279.84;5;0;https://www.magazineluiza.com.br/alex-kidd-in-miracle-world-dx-switch/p/kk885e1c83/ga/otga/
Alex Kidd in Miracle World DX - Sega;251.09;5;0;https://www.magazineluiza.com.br/alex-kidd-in-miracle-world-dx-sega/p/ef7gf7abg9/ga/otga/
Star Wars Jedi Academy + Jedi Outcast Limited Run Switch;5021.44;5;0;https://www.magazineluiza.com.br/star-wars-jedi-academy-jedi-outcast-limited-run-switch/p/ee2ed5764c/ga/otga/
Alex Kidd in Miracle World DX;279.92;5;0;https://www.magazineluiza.com.br/alex-kidd-in-miracle-world-dx-sega/p/ej8gja1aah/ga/otga/
Alex Kidd in Miracle World DX;279.84;5;0;https://www.magazineluiza.com.br/alex-kidd-in-miracle-world-dx-sega/p/hk9jef54dj/ga/otga/
Boneca Reborn Bundle of Joy - 31060400 Paradise Galleries - Paradise Galleries;1023.0;5;0;https://www.magazineluiza.com.br/boneca-reborn-bundle-of-joy-31060400-paradise-galleries-paradise-galleries/p/ee336e2kek/ga/otga/
