Descrição,Preço,Estrelas,TotalReviews,Url,Loja,Categoria
Notebook Samsung 13.3 Full HD Intel 2.6GHz 4GB RAM 64GB SSD Windows 10 PRO,2259.9,4.5,22.0,https://www.amazon.com.br/Notebook-Samsung-Intel-2-6GHz-Windows/dp/B092337B7M/ref=sr_1_38?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-38&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Samsung BookIntel® Core™ i7-1165G7, 11 Geração, Windows 10 Home, 8GB, 256 GB SSD, Intel® Iris® Xe, 15.6'' Full HD LED, 1.81kg*.",4200.0,4.5,36.0,https://www.amazon.com.br/Samsung-BookIntel%C2%AE-i7-1165G7-Gera%C3%A7%C3%A3o-Windows/dp/B093N3DQ4G/ref=sr_1_39?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-39&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3.4GHz, 4GB de RAM, SSD de 128 GB, USB-C, FP Reader, Webcam, HDMI, Mytix cabo HDMI, Win 10 S, Verde",4741.24,0.0,0.0,https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg2_1?ie=UTF8&adId=A0009219ARXBTIMVB0G&url=%2FNotebook-Gateway-ultrafino-polegadas-i3-1005G1%2Fdp%2FB08N5KLQKX%2Fref%3Dsr_1_41_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634260360%26s%3Dcomputers%26sr%3D1-41-spons%26ufe%3Dapp_do%253Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147%26psc%3D1&qualifier=1634260360&id=3292268093218492&widgetName=sp_mtf,Amazon,Notebook
"Notebook Gateway Ultra Slim Laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 8 GB de RAM, 256 GB SSD, USB-C, leitor FP, webcam, HDMI, hub USB Mytix, Win 10 S, verde",5067.03,0.0,0.0,https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg2_1?ie=UTF8&adId=A00087277XFHLCHKE0YQ&url=%2FNotebook-Gateway-Laptop-polegadas-i3-1005G1%2Fdp%2FB08N5MPG9N%2Fref%3Dsr_1_42_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634260360%26s%3Dcomputers%26sr%3D1-42-spons%26ufe%3Dapp_do%253Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147%26psc%3D1&qualifier=1634260360&id=3292268093218492&widgetName=sp_mtf,Amazon,Notebook
Notebook Multilaser Legacy Cloud 14 Pol. 2GB 32GB W10 Cinza - PC131,1439.9,3.7,56.0,https://www.amazon.com.br/Notebook-Multilaser-Legacy-Cloud-Cinza/dp/B08FPD4D9R/ref=sr_1_43?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-43&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Samsung Book E20 Intel® Dual-Core, Windows 10 Home, 4GB, 500GB, 15.6'' HD LED",3029.0,4.2,604.0,https://www.amazon.com.br/Samsung-Intel%C2%AE-Dual-Core-Windows-500GB/dp/B08BB91X67/ref=sr_1_44?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-44&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Samsung Book Intel® Dual-Core, Windows 10 Home, 4GB, 500GB, 15.6'' Full HD LED, 1.86kg* Branco",2999.0,3.9,7.0,https://www.amazon.com.br/Samsung-Intel%C2%AE-Dual-Core-Windows-1-86kg/dp/B0931XW51J/ref=sr_1_45?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-45&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Ultra Intel Pentium 4GB 500GB HDD Windows 10 Home 14,1"" Preto - UB322",1799.9,5.0,2.0,https://www.amazon.com.br/Notebook-Ultra-Intel-Pentium-Windows/dp/B092FQWFD7/ref=sr_1_46?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-46&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Dell Inspiron I5-1035g1 16gb 256 Ssd Tela 15,6 Hd",4499.0,0.0,0.0,https://www.amazon.com.br/Notebook-Dell-Inspiron-I5-1035g1-16gb/dp/B09FYJFGJH/ref=sr_1_47?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-47&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Acer 15,6"" A515-54-511Q I5-1035G1 8GB 256GB W10H",4229.9,4.8,54.0,https://www.amazon.com.br/Notebook-Acer-A515-54-511Q-I5-1035G1-256GB/dp/B093X38GMY/ref=sr_1_48?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-48&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
