;Descrição;Preço;TotalReviews;Loja;Categoria;Armazenamento
1399;Smartphone Motorola Moto G8 Play 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Tripla + Selfie 8MP - Vermelho Magenta;2146.8;711.0;Americanas;Smartphone;32gb
1401;"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Azul";2169.9;342.0;Americanas;Smartphone;32gb
1405;"Smartphone Xiaomi Redmi 9A Verde 32GB Tela de 6.53"" 2GB 13MP";999.0;0.0;Americanas;Smartphone;32gb
1409;"Smartphone Samsung Galaxy A20s Dual Chip Android 9.0 Tela 6.5"" Octa-Core 32GB 4G Câmera Tripla 13MP + 8MP + 5MP - Preto";1595.0;361.0;Americanas;Smartphone;32gb
1419;Smartphone Samsung Galaxy A20s Dual Chip Android 9.0 Tela 6.5 Octa-Core 32GB 4G Wi-Fi Câmera Tripla Traseira Vermelho;1300.0;0.0;Americanas;Smartphone;32gb
1429;Smartphone xiaomi redmi 9A tela 6,53 2GB/32GB 4G, cinza;1035.0;0.0;Americanas;Smartphone;32gb
1433;Smartphone Motorola Moto E6s 32GB 4G Wi-Fi Tela 6.1'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul Navy;740.05;27.0;Americanas;Smartphone;32gb
1435;"Smartphone Motorola Moto E6 Play 32GB Dual Chip Android 9 Tela 5.5"" MT6739 4G Câmera 13MP - Cinza Metálico";804.8;137.0;Americanas;Smartphone;32gb
1436;Smartphone Asus Zenfone Max Shot 32GB 12MP Tela 6.26 Vermelho + Cartão de Memória;781.08;0.0;Americanas;Smartphone;32gb
1438;"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Vermelho";2169.9;548.0;Americanas;Smartphone;32gb
1439;Smartphone Samsung Galaxy J7 Prime Rosa 5,5 Câmera de 13MP 32GB Octa Core e 3GB de ram;1318.8;0.0;Americanas;Smartphone;32gb
1442;"Smartphone LG K11+ 32GB Dual Chip Android 7.1.2 Tela 5.3"" Octa Core 1.5 Ghz 4G Câmera 13MP - Preto";649.0;163.0;Americanas;Smartphone;32gb
1443;"Smartphone LG K40s 32GB Dual Chip Android 9 Tela 6.1"" Octa Core 2.0GHz 4G Câmera 13+5MP - Preto";1999.99;441.0;Americanas;Smartphone;32gb
1447;Celular Xiaomi Redmi 9a 32gb 2gb Ram Versão Global Cinza;891.0;5.0;Americanas;Smartphone;32gb
1457;Smartphone Motorola Moto E6s 32GB 4G Wi-Fi Tela 6.1'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Vermelho Magenta;1400.0;29.0;Americanas;Smartphone;32gb
1458;Smartphone Samsung Galaxy A10s 4G 32GB Tela 6.2 Dual Chip Android 9.0;934.92;0.0;Americanas;Smartphone;32gb
1466;"Smartphone LG K11+ 32GB  Dual Chip Android 7.0 Tela 5.3"" Octa Core 1.5 Ghz 4G Câmera 13MP - Azul";1019.9;78.0;Americanas;Smartphone;32gb
1470;Smartphone xiaomi redmi 9C tela 6,53 2GB/32GB;1199.99;2.0;Americanas;Smartphone;32gb
1477;Smartphone Samsung Galaxy A01 Android 10.0 Tela 5.7 Octa-Core 32GB 4G Câmera 13MP - Vermelho;749.0;1.0;Americanas;Smartphone;32gb
1479;"Smartphone Samsung Galaxy A21s Dual Chip Android 10 Tela 6.5"" Octa-Core 32GB 4G Câmera Quádrupla 48MP+8MP+2MP+2MP - Preto";1598.0;3.0;Americanas;Smartphone;32gb
1488;"Celular Asus Zenfone Live L2 Dourado Rose 32GB 2GB RAM Tela 5.5"" OctaCore Câmera 13MP";1598.0;22.0;Americanas;Smartphone;32gb
1494;Reembalado: Smartphone LG K12 Plus 32GB 3GB ram Câmera Traseira 16MP Tela 5.7 Preto - Excelente;648.81;0.0;Americanas;Smartphone;32gb
2426;"Smartphone Samsung Galaxy A01 Azul 32GB, Tela Infinita de 5.7"", Câmera Traseira Dupla, Android 10.0, Dual Chip e Processador Octa-Core";699.0;2769.0;Casas Bahia;Smartphone;32gb
2427;Smartphone Motorola Moto E7 Power Azul Metálico 32GB, Bateria 5000 mAh, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core;759.0;720.0;Casas Bahia;Smartphone;32gb
2431;"Smartphone Samsung Galaxy A02 Azul 32GB, Tela Infinita de 6.5"", Câmera Traseira Dupla, Android 10.0, Dual Chip e Processador Quad-Core";777.0;795.0;Casas Bahia;Smartphone;32gb
2432;"Smartphone Xiaomi Redmi 9A Azul 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira 13MP, Android 10 e Processador Octa-Core";899.0;917.0;Casas Bahia;Smartphone;32gb
2436;"Smartphone Samsung Galaxy A02s Preto 32GB, Tela Infinita de 6.5"", Câmera Tripla, bateria 5000mAh, 3GB RAM e Processador Octa-Core";849.0;1233.0;Casas Bahia;Smartphone;32gb
2437;Smartphone Samsung Galaxy A01 Core Azul 32GB, Tela Infinita de 5.3”, Câmera Traseira 8MP, Android GO 10.0, Dual Chip e Processador Quad-Core;845.0;1730.0;Casas Bahia;Smartphone;32gb
2438;Smartphone Samsung Galaxy A01 Core Vermelho 32GB, Tela Infinita de 5.3”, Câmera Traseira 8MP, Android GO 10.0, Dual Chip e Processador Quad-Core;799.0;1302.0;Casas Bahia;Smartphone;32gb
2444;Smartphone Samsung Galaxy A01 Core Preto 32GB, Tela Infinita de 5.3”, Câmera Traseira 8MP, Android GO 10.0, Dual Chip e Processador Quad-Core;549.0;2402.0;Casas Bahia;Smartphone;32gb
2445;Smartphone Nokia C2 Preto 32GB, Tela de 5,7” HD+, Câmera 5MP, Android 9.0 e Processador Spreadtrum UniSoC;999.0;22.0;Casas Bahia;Smartphone;32gb
2447;Smartphone Motorola Moto E6i Cinza Titanium 32GB, 2GB RAM, Tela de 6.1”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core;1699.0;806.0;Casas Bahia;Smartphone;32gb
2455;Smartphone Multilaser E Lite Preto com 32GB, Tela 4”, Android 8.1, Dual Chip, Câmera 5MP, 3G, Bluetooth e Processador Quad core;1599.0;14.0;Casas Bahia;Smartphone;32gb
2457;Smartphone Motorola Moto E6i Pink 32GB, 2GB RAM, Tela de 6.1”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core;777.0;387.0;Casas Bahia;Smartphone;32gb
2458;"Smartphone Samsung Galaxy A02 Vermelho 32GB, Tela Infinita de 6.5"", Câmera Traseira Dupla, Android 10.0, Dual Chip e Processador Quad-Core";2777.0;594.0;Casas Bahia;Smartphone;32gb
2460;"Smartphone Xiaomi Redmi 9A Verde 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira 13MP, Android 10 e Processador Octa-Core";3399.0;235.0;Casas Bahia;Smartphone;32gb
2465;"Smartphone LG K41S Titânio 32GB, RAM de 3GB, Tela de 6,55"" V- Notch HD+ 20:9, Inteligência Artificial, Câmera Quádrupla e Processador Octa-Core 2.0";919.0;622.0;Casas Bahia;Smartphone;32gb
2467;Smartphone Motorola Moto E7 Aquamarine 32GB, 2GB RAM, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core;889.0;152.0;Casas Bahia;Smartphone;32gb
2468;"Smartphone LG K41S Preto 32GB, RAM de 3GB, Tela de 6,55"" V- Notch HD+ 20:9, Inteligência Artificial, Câmera Quádrupla e Processador Octa-Core 2.0";915.99;1493.0;Casas Bahia;Smartphone;32gb
2470;Smartphone Motorola Moto E7 Power Vermelho Coral 32GB, Bateria 5000 mAh, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core;1924.0;409.0;Casas Bahia;Smartphone;32gb
2476;"Smartphone Samsung Galaxy A02s Vermelho 32GB, Tela Infinita de 6.5"", Câmera Tripla, bateria 5000mAh, 3GB RAM e Processador Octa-Core";1099.0;739.0;Casas Bahia;Smartphone;32gb
2480;"Smartphone Multilaser E Lite P9127 3G Dourado 32GB Tela 4.0"" Câmera 5MP Android 8.1";1199.0;25.0;Casas Bahia;Smartphone;32gb
2495;"Smartphone Motorola Moto e6s Cinza Titanium 32GB, Tela Max Vision de 6.1"", Câmera Traseira Dupla, Android 9.0, Processador Octa-Core e 2GB de RAM";899.0;352.0;Casas Bahia;Smartphone;32gb
2496;"Smartphone Xiaomi Redmi 9A Cinza 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira 13MP, Android 10 e Processador Octa-Core";1909.0;493.0;Casas Bahia;Smartphone;32gb
2498;Smartphone Multilaser E P9128 Preto com 32GB, Tela 5”, Android 8.1, Dual Chip, Câmera 5MP, 3G, Bluetooth e Processador Quad core;1199.0;23.0;Casas Bahia;Smartphone;32gb
2505;Smartphone Motorola Moto E7 Cinza Metálico 32GB, 2GB RAM, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core;4999.0;262.0;Casas Bahia;Smartphone;32gb
2507;"Smartphone Xiaomi Redmi 9C Cinza 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira Tripla, Android 10 e Processador Octa-Core";1199.0;25.0;Casas Bahia;Smartphone;32gb
2508;"Smartphone Xiaomi Redmi 9C Azul 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira Tripla, Android 10 e Processador Octa-Core";2099.0;307.0;Casas Bahia;Smartphone;32gb
2509;"Smartphone Galaxy A02, 32GB + 2GB Tela Infinita de 6.5"" - Preto";2150.0;64.0;Casas Bahia;Smartphone;32gb
2522;"Smartphone Multilaser G Pro, Preto, Tela 6,1"", 4G+Wi-Fi, Android, Câm Traseira 13+2MP e Frontal 5 MP, 32GB";1279.0;1.0;Casas Bahia;Smartphone;32gb
2547;Smartphone Positivo S513 Twist 3 32Gb Tela 5.5 3G Vermelho;2629.0;7.0;Casas Bahia;Smartphone;32gb
2549;"Smartphone Motorola Moto e6s Azul Navy 32GB, Tela Max Vision de 6.1"", Câmera Traseira Dupla, Android 9.0, Processador Octa-Core e 2GB de RAM";3999.0;422.0;Casas Bahia;Smartphone;32gb
2550;"Smartphone Samsung Galaxy A02s Azul 32GB, Tela Infinita de 6.5"", Câmera Tripla, bateria 5000mAh, 3GB RAM e Processador Octa-Core";1582.21;730.0;Casas Bahia;Smartphone;32gb
2562;Smartphone E Lite 32gb 512mb Quad Core;486.0;8.0;Casas Bahia;Smartphone;32gb
