Descrição;Preço;TotalReviews;Loja;Categoria;Processador
Notebook Compaq Presario 430 Intel Core i3-6157U 4GB 120GB SSD Tela LED HD 14.1” Windows 10;7999.0;11.0;Casas Bahia;Notebook;i3
Notebook Lenovo I3 / 4Gb / Ssd 128Gb Midnight Blue;3299.99;0.0;Casas Bahia;Notebook;i3
Notebook Acer Aspire 3 A315-56-311J Intel Core i3 10ª Gen Windows 10 Home 8GB 256GB SSD 15,6` FHD;3599.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer Aspire 5 I3-1005g1 8gb 512 Ssd Tela 14 Hd;5749.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer Aspire 5 A514-53-39KH Intel Core I3 8GB ram 256GB ssd 14` Windows 10;6399.0;0.0;Casas Bahia;Notebook;i3
Notebook Dell Inspiron i15-3501 - Tela 15.6, Intel i3 1005G1;2626.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 12gb 2tb Ssd Tela 15,6 Hd;5303.47;0.0;Casas Bahia;Notebook;i3
"Notebook Dell Inspiron i3501-M25P 15.6"" HD 10ª Geração Intel Core i3 4GB 256GB SSD Windows 10 Preto";6599.0;12.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 4gb 128ssd+1tb 15,6;4199.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 4gb 256 Ssd Tela 15,6 Hd;4849.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 8gb 256ssd+1tb 15,6;6199.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 4gb 512ssd+2tb 15,6 Hd;5249.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 20gb 1tbssd+2tb 15,6 Hd;4949.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 12gb 1tb Ssd Tela 15,6 Hd;5149.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 8gb 128ssd+1tb 15,6;4399.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 20gb 512 Ssd 15,6 Hd;4499.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 12gb 512 Ssd 15,6 Hd;5215.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 4gb 256ssd+2tb 15,6 Hd;5699.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 20gb 512ssd+2tb 15,6 Hd;5099.0;0.0;Casas Bahia;Notebook;i3
